Strategy,Instance,TotalTime,Accuracy
2 threads,0,108.749302,0.910700
2 threads,1,111.679430,0.937000
2 threads,2,112.322221,0.944600
2 threads,3,114.122956,0.948900
2 threads,4,113.920017,0.952300
2 threads,5,114.757039,0.955000
2 threads,6,114.931884,0.955900
2 threads,7,114.619029,0.956900
2 threads,8,115.486034,0.957500
2 threads,9,115.311303,0.958300
