Strategy,Instance,TotalTime,Accuracy
4 threads,0,80.645792,0.910700
4 threads,1,87.390054,0.937000
4 threads,2,86.688593,0.944600
4 threads,3,87.420074,0.948900
4 threads,4,86.383773,0.952300
4 threads,5,86.693204,0.955000
4 threads,6,86.486636,0.955900
4 threads,7,85.633504,0.956900
4 threads,8,87.183483,0.957500
4 threads,9,86.316608,0.958300
