Strategy,Instance,TotalTime,Accuracy
7 threads,0,67.103357,0.910700
7 threads,1,77.956305,0.937000
7 threads,2,77.629182,0.944600
7 threads,3,78.498394,0.948900
7 threads,4,79.053696,0.952300
7 threads,5,79.436601,0.955000
7 threads,6,79.419347,0.955900
7 threads,7,79.538996,0.956900
7 threads,8,80.163061,0.957500
7 threads,9,79.814412,0.958300
