Strategy,Instance,TotalTime,Accuracy
6 threads,0,77.976114,0.910700
6 threads,1,83.214530,0.937000
6 threads,2,83.587320,0.944600
6 threads,3,83.523080,0.948900
6 threads,4,80.111527,0.952300
6 threads,5,80.929694,0.955000
6 threads,6,82.073121,0.955900
6 threads,7,81.604695,0.956900
6 threads,8,81.920815,0.957500
6 threads,9,82.075204,0.958300
