Strategy,Instance,TotalTime,Accuracy
5 threads,0,86.011728,0.910700
5 threads,1,90.170674,0.937000
5 threads,2,89.487937,0.944600
5 threads,3,89.262181,0.948900
5 threads,4,88.534262,0.952300
5 threads,5,88.686428,0.955000
5 threads,6,91.229789,0.955900
5 threads,7,92.700079,0.956900
5 threads,8,92.978141,0.957500
5 threads,9,92.442878,0.958300
